Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,pageranks
brk,0,1,1,0,396,396,0,0.003293,0.006681
[unknown],9,11,20,5182,5182,10364,0.012509,0.737911,0.078431
syscall_brk,1,0,1,1192,0,1192,0.194261,0,0.012745
_dl_sysdep_start,4,1,5,2379,2757,5136,0,0.003293,0.034247
syscall_arch_prctl,1,0,1,767,0,767,0.194261,0,0.012745
access,0,1,1,0,398,398,0,0,0.006681
syscall_access,1,0,1,398,0,398,0.194261,0,0.012745
__GI___open64_nocancel,0,1,1,0,796,796,0,0.024119,0.006681
_dl_map_object,6,5,11,4378,4378,8756,0.091616,0.447809,0.034671
syscall_openat,4,0,4,1199,0,1199,0.429426,0,0.027045
_fxstat,0,2,2,0,796,796,0,0.137633,0.006681
syscall_newfstat,4,0,4,1595,0,1595,0.431191,0,0.027045
mmap64,0,1,1,0,2786,2786,0,0,0.006681
syscall_mmap,2,0,2,3183,0,3183,0,0,0.018047
__GI___close_nocancel,0,2,2,0,796,796,0,0.112106,0.006681
syscall_close,5,0,5,1992,0,1992,0.334226,0,0.031945
__GI___read_nocancel,0,1,1,0,398,398,0,0.024119,0.006681
syscall_read,3,0,3,385497,0,385497,0.388296,0,0.026767
__GI___pread64_nocancel,0,2,2,0,2388,2388,0,0.025915,0.006681
syscall_pread64,1,0,1,2388,0,2388,0.117889,0,0.01258
_dl_map_object_from_fd,1,1,2,796,796,1592,0.006822,0.024119,0.009523
init_tls,0,1,1,0,389,389,0,0,0.006681
mprotect,0,1,1,0,1194,1194,0,0,0.006681
dl_main,1,1,2,1194,1194,2388,0,0,0.012364
syscall_mprotect,1,0,1,1194,0,1194,0.194261,0,0.012745
munmap,0,1,1,0,398,398,0,0,0.006681
syscall_munmap,1,0,1,398,0,398,0.194261,0,0.012745
__brk,0,1,1,0,796,796,0,0.003293,0.006681
__GI___libc_open,0,1,1,0,5,5,0,0.003293,0.006681
__dup2,0,1,1,0,1,1,0,0,0.006681
__libc_start_main,2,6,8,385120,385120,770240,0,0.289245,0.057271
syscall_dup2,1,0,1,1,0,1,0.076146,0,0.014805
__fxstat64,0,2,2,0,799,799,0,0.021171,0.006681
__libc_fork,0,1,1,0,740,740,0,0,0.006681
syscall_clone,1,0,1,740,0,740,0,0,0.012364
__GI___wait4,0,3,3,0,596,596,0,0.016702,0.006681
main,6,1,7,385119,385119,770238,0.044369,0,0.052788
syscall_wait4,2,0,2,596,0,596,0.100016,0,0.01799
__GI___getppid,0,3,3,0,399,399,0,0.018902,0.006681
syscall_getppid,2,0,2,399,0,399,0.100016,0,0.01799
__getpid,0,3,3,0,399,399,0,0.018902,0.006681
syscall_getpid,2,0,2,399,0,399,0.100016,0,0.01799
__open64_nocancel,0,2,2,0,398,398,0,0.130928,0.006681
__read_nocancel,0,1,1,0,2,2,0,0.003293,0.006681
llseek@GLIBC_2.2.5,0,1,1,0,3,3,0,0.003293,0.006681
syscall_lseek,1,0,1,3,0,3,0.194261,0,0.012745
__close_nocancel,0,2,2,0,1192,1192,0,0.105866,0.006681
factorial,3,5,8,171395,171395,342790,0.004724,0.09067,0.01873
_nl_find_locale,3,1,4,1191,1191,2382,0.067911,0,0.015205
setlocale,1,3,4,1191,1191,2382,0,0.314552,0.019616
__mmap,0,1,1,0,397,397,0,0,0.006681
__GI___libc_write,0,1,1,0,422,422,0,0.003293,0.006681
syscall_write,1,0,1,422,0,422,0.194261,0,0.012745
__xstat64,0,1,1,0,399,399,0,0.003293,0.006681
syscall_newstat,1,0,1,399,0,399,0.194261,0,0.012745
findMin,3,2,5,1009,1009,2018,0.014349,0,0.012364
subtract,1,1,2,1006,1006,2012,0,0.001244,0.01194
chain4,5,1,6,385104,385104,770208,0.013084,0,0.033551
chain1,1,1,2,385104,385104,770208,0,0.01168,0.035226
read,0,2,2,0,385097,385097,0,0.004074,0.006681
__close,0,3,3,0,4,4,0,0.004377,0.006681
chain7,3,1,4,184479,184479,368958,0.00239,0.003444,0.021571
chain9,1,1,2,3,3,6,0,0.000629,0.01194
chain2,1,1,2,2,2,4,0.001152,0.01168,0.008576
