Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,pageranks
brk,0,1,1,0,99,99,0,0.003289,0.006658
[unknown],9,11,20,1402,1402,2804,0.012494,0.737129,0.078078
syscall_brk,1,0,1,321,0,321,0.194042,0,0.0127
_dl_sysdep_start,4,1,5,648,726,1374,0,0.003289,0.034091
syscall_arch_prctl,1,0,1,171,0,171,0.194042,0,0.0127
access,0,1,1,0,111,111,0,0,0.006658
syscall_access,1,0,1,111,0,111,0.194042,0,0.0127
__GI___open64_nocancel,0,1,1,0,222,222,0,0.024096,0.006658
_dl_map_object,6,5,11,1221,1221,2442,0.091538,0.447469,0.034514
syscall_openat,4,0,4,339,0,339,0.428997,0,0.02694
_fxstat,0,2,2,0,222,222,0,0.13749,0.006658
syscall_newfstat,4,0,4,447,0,447,0.43076,0,0.02694
mmap64,0,1,1,0,776,776,0,0,0.006658
syscall_mmap,2,0,2,886,0,886,0,0,0.01797
__GI___close_nocancel,0,2,2,0,222,222,0,0.112065,0.006658
syscall_close,5,0,5,558,0,558,0.334179,0,0.031742
__GI___read_nocancel,0,1,1,0,111,111,0,0.024096,0.006658
syscall_read,3,0,3,599828,0,599828,0.388127,0,0.026587
__GI___pread64_nocancel,0,2,2,0,666,666,0,0.02589,0.006658
syscall_pread64,1,0,1,666,0,666,0.117792,0,0.012528
_dl_map_object_from_fd,1,1,2,222,222,444,0.006815,0.024096,0.009486
init_tls,0,1,1,0,93,93,0,0,0.006658
mprotect,0,1,1,0,333,333,0,0,0.006658
dl_main,1,1,2,333,333,666,0,0,0.012314
syscall_mprotect,1,0,1,333,0,333,0.194042,0,0.0127
munmap,0,1,1,0,111,111,0,0,0.006658
syscall_munmap,1,0,1,111,0,111,0.194042,0,0.0127
__brk,0,1,1,0,222,222,0,0.003289,0.006658
__GI___libc_open,0,1,1,0,6,6,0,0.003289,0.006658
__dup2,0,1,1,0,1,1,0,0,0.006658
__libc_start_main,2,6,8,599740,599740,1199480,0,0.289825,0.056463
syscall_dup2,1,0,1,1,0,1,0.076294,0,0.014674
__fxstat64,0,2,2,0,225,225,0,0.021152,0.006658
__libc_fork,0,1,1,0,218,218,0,0,0.006658
syscall_clone,1,0,1,218,0,218,0,0,0.012314
__GI___getppid,0,3,3,0,111,111,0,0.024204,0.006658
main,6,1,7,599739,599739,1199478,0.051232,0,0.051955
syscall_getppid,2,0,2,111,0,111,0.100798,0,0.017739
__getpid,0,3,3,0,111,111,0,0.024204,0.006658
syscall_getpid,2,0,2,111,0,111,0.100798,0,0.017739
__open64_nocancel,0,2,2,0,111,111,0,0.130792,0.006658
__read_nocancel,0,1,1,0,2,2,0,0.003289,0.006658
llseek@GLIBC_2.2.5,0,1,1,0,3,3,0,0.003289,0.006658
syscall_lseek,1,0,1,3,0,3,0.194042,0,0.0127
__close_nocancel,0,2,2,0,331,331,0,0.105832,0.006658
__GI___wait4,0,4,4,0,200,200,0,0.026151,0.006658
factorial,3,5,8,50198,50198,100396,0.007397,0.093089,0.018015
syscall_wait4,2,0,2,200,0,200,0.100798,0,0.017739
_nl_find_locale,3,1,4,330,330,660,0.067857,0,0.015142
setlocale,1,3,4,330,330,660,0,0.314291,0.019528
__mmap,0,1,1,0,110,110,0,0,0.006658
__GI___libc_write,0,1,1,0,118,118,0,0.003289,0.006658
syscall_write,1,0,1,118,0,118,0.194042,0,0.0127
__xstat64,0,1,1,0,111,111,0,0.003289,0.006658
syscall_newstat,1,0,1,111,0,111,0.194042,0,0.0127
findMin,3,2,5,311,311,622,0.019627,0,0.011843
subtract,1,1,2,308,308,616,0,0.001947,0.01169
chain4,4,1,5,599724,599724,1199448,0.021089,0,0.033395
chain1,1,1,2,599724,599724,1199448,0,0.013486,0.035069
read,0,2,2,0,599715,599715,0,0,0.006658
chain7,3,1,4,599721,599721,1199442,0,0.005551,0.025322
chain9,3,1,4,399400,399400,798800,0,0,0.016404
__close,0,3,3,0,5,5,0,0,0.006658
chain2,1,1,2,2,2,4,0,0.013486,0.008543
